id,imagenet_code,name
127,n02002556,white stork
128,n02002724,black stork
129,n02006656,spoonbill
130,n02007558,flamingo
131,n02009229,little blue heron
132,n02009912,American egret
133,n02011460,bittern
134,n02012849,crane
135,n02013706,limpkin
136,n02017213,European gallinule
137,n02018207,American coot
138,n02018795,bustard
139,n02025239,ruddy turnstone
140,n02027492,red-backed sandpiper
141,n02028035,redshank
142,n02033041,dowitcher
143,n02037110,oystercatcher
144,n02051845,pelican
145,n02056570,king penguin
146,n02058221,albatross
147,n02066245,grey whale
148,n02071294,killer whale
149,n02074367,dugong
150,n02077923,sea lion
151,n02085620,Chihuahua
152,n02085782,Japanese spaniel
153,n02085936,Maltese dog
154,n02086079,Pekinese
155,n02086240,Shih-Tzu
156,n02086646,Blenheim spaniel
157,n02086910,papillon
158,n02087046,toy terrier
159,n02087394,Rhodesian ridgeback
160,n02088094,Afghan hound
161,n02088238,basset
162,n02088364,beagle
163,n02088466,bloodhound
164,n02088632,bluetick
165,n02089078,black-and-tan coonhound
166,n02089867,Walker hound
167,n02089973,English foxhound
168,n02090379,redbone
169,n02090622,borzoi
170,n02090721,Irish wolfhound
171,n02091032,Italian greyhound
172,n02091134,whippet
173,n02091244,Ibizan hound
174,n02091467,Norwegian elkhound
175,n02091635,otterhound
176,n02091831,Saluki
177,n02092002,Scottish deerhound
178,n02092339,Weimaraner
179,n02093256,Staffordshire bullterrier
180,n02093428,American Staffordshire terrier
181,n02093647,Bedlington terrier
182,n02093754,Border terrier
183,n02093859,Kerry blue terrier
184,n02093991,Irish terrier
185,n02094114,Norfolk terrier
186,n02094258,Norwich terrier
187,n02094433,Yorkshire terrier
188,n02095314,wire-haired fox terrier
189,n02095570,Lakeland terrier
190,n02095889,Sealyham terrier
191,n02096051,Airedale
192,n02096177,cairn
193,n02096294,Australian terrier
194,n02096437,Dandie Dinmont
195,n02096585,Boston bull
196,n02097047,miniature schnauzer
197,n02097130,giant schnauzer
198,n02097209,standard schnauzer
199,n02097298,Scotch terrier
200,n02097474,Tibetan terrier
201,n02097658,silky terrier
202,n02098105,soft-coated wheaten terrier
203,n02098286,West Highland white terrier
204,n02098413,Lhasa
205,n02099267,flat-coated retriever
206,n02099429,curly-coated retriever
207,n02099601,golden retriever
208,n02099712,Labrador retriever
209,n02099849,Chesapeake Bay retriever
210,n02100236,German short-haired pointer
211,n02100583,vizsla
212,n02100735,English setter
213,n02100877,Irish setter
214,n02101006,Gordon setter
215,n02101388,Brittany spaniel
216,n02101556,clumber
217,n02102040,English springer
218,n02102177,Welsh springer spaniel
219,n02102318,cocker spaniel
220,n02102480,Sussex spaniel
221,n02102973,Irish water spaniel
222,n02104029,kuvasz
223,n02104365,schipperke
224,n02105056,groenendael
225,n02105162,malinois
226,n02105251,briard
227,n02105412,kelpie
228,n02105505,komondor
229,n02105641,Old English sheepdog
230,n02105855,Shetland sheepdog
231,n02106030,collie
232,n02106166,Border collie
233,n02106382,Bouvier des Flandres
234,n02106550,Rottweiler
235,n02106662,German shepherd
236,n02107142,Doberman
237,n02107312,miniature pinscher
238,n02107574,Greater Swiss Mountain dog
239,n02107683,Bernese mountain dog
240,n02107908,Appenzeller
241,n02108000,EntleBucher
242,n02108089,boxer
243,n02108422,bull mastiff
244,n02108551,Tibetan mastiff
245,n02108915,French bulldog
246,n02109047,Great Dane
247,n02109525,Saint Bernard
248,n02109961,Eskimo dog
249,n02110063,malamute
250,n02110185,Siberian husky
251,n02110341,dalmatian
252,n02110627,affenpinscher
253,n02110806,basenji
254,n02110958,pug
255,n02111129,Leonberg
256,n02111277,Newfoundland
257,n02111500,Great Pyrenees
258,n02111889,Samoyed
259,n02112018,Pomeranian
260,n02112137,chow
261,n02112350,keeshond
262,n02112706,Brabancon griffon
263,n02113023,Pembroke
264,n02113186,Cardigan
265,n02113624,toy poodle
266,n02113712,miniature poodle
267,n02113799,standard poodle
268,n02113978,Mexican hairless
269,n02114367,timber wolf
270,n02114548,white wolf
271,n02114712,red wolf
272,n02114855,coyote
273,n02115641,dingo
274,n02115913,dhole
275,n02116738,African hunting dog
276,n02117135,hyena
277,n02119022,red fox
278,n02119789,kit fox
279,n02120079,Arctic fox
280,n02120505,grey fox
281,n02123045,tabby
282,n02123159,tiger cat
283,n02123394,Persian cat
284,n02123597,Siamese cat
285,n02124075,Egyptian cat
286,n02125311,cougar
287,n02127052,lynx
288,n02128385,leopard
289,n02128757,snow leopard
290,n02128925,jaguar
291,n02129165,lion
292,n02129604,tiger
293,n02130308,cheetah
294,n02132136,brown bear
295,n02133161,American black bear
296,n02134084,ice bear
297,n02134418,sloth bear
298,n02137549,mongoose
299,n02138441,meerkat
300,n02165105,tiger beetle
301,n02165456,ladybug
302,n02167151,ground beetle
303,n02168699,long-horned beetle
304,n02169497,leaf beetle
305,n02172182,dung beetle
306,n02174001,rhinoceros beetle
307,n02177972,weevil
308,n02190166,fly
309,n02206856,bee
310,n02219486,ant
311,n02226429,grasshopper
312,n02229544,cricket
313,n02231487,walking stick
314,n02233338,cockroach
315,n02236044,mantis
316,n02256656,cicada
317,n02259212,leafhopper
318,n02264363,lacewing
319,n02268443,dragonfly
320,n02268853,damselfly
321,n02276258,admiral
322,n02277742,ringlet
323,n02279972,monarch
324,n02280649,cabbage butterfly
325,n02281406,sulphur butterfly
326,n02281787,lycaenid
327,n02317335,starfish
328,n02319095,sea urchin
329,n02321529,sea cucumber
330,n02325366,wood rabbit
331,n02326432,hare
332,n02328150,Angora
333,n02342885,hamster
334,n02346627,porcupine
335,n02356798,fox squirrel
336,n02361337,marmot
337,n02363005,beaver
338,n02364673,guinea pig
339,n02389026,sorrel
340,n02391049,zebra
341,n02395406,hog
342,n02396427,wild boar
343,n02397096,warthog
344,n02398521,hippopotamus
345,n02403003,ox
346,n02408429,water buffalo
347,n02410509,bison
348,n02412080,ram
349,n02415577,bighorn
350,n02417914,ibex
351,n02422106,hartebeest
352,n02422699,impala
353,n02423022,gazelle
354,n02437312,Arabian camel
355,n02437616,llama
356,n02441942,weasel
357,n02442845,mink
358,n02443114,polecat
359,n02443484,black-footed ferret
360,n02444819,otter
361,n02445715,skunk
362,n02447366,badger
363,n02454379,armadillo
364,n02457408,three-toed sloth
365,n02480495,orangutan
366,n02480855,gorilla
367,n02481823,chimpanzee
368,n02483362,gibbon
369,n02483708,siamang
370,n02484975,guenon
371,n02486261,patas
372,n02486410,baboon
373,n02487347,macaque
374,n02488291,langur
375,n02488702,colobus
376,n02489166,proboscis monkey
377,n02490219,marmoset
378,n02492035,capuchin
379,n02492660,howler monkey
380,n02493509,titi
381,n02493793,spider monkey
382,n02494079,squirrel monkey
383,n02497673,Madagascar cat
384,n02500267,indri
385,n02504013,Indian elephant
386,n02504458,African elephant
387,n02509815,lesser panda
388,n02510455,giant panda
389,n02514041,barracouta
390,n02526121,eel
391,n02536864,coho
392,n02606052,rock beauty
393,n02607072,anemone fish
394,n02640242,sturgeon
395,n02641379,gar
396,n02643566,lionfish
397,n02655020,puffer
398,n02666196,abacus
399,n02667093,abaya
400,n02669723,academic gown
401,n02672831,accordion
402,n02676566,acoustic guitar
403,n02687172,aircraft carrier
404,n02690373,airliner
405,n02692877,airship
406,n02699494,altar
407,n02701002,ambulance
408,n02704792,amphibian
409,n02708093,analog clock
410,n02727426,apiary
411,n02730930,apron
412,n02747177,ashcan
413,n02749479,assault rifle
414,n02769748,backpack
415,n02776631,bakery
416,n02777292,balance beam
417,n02782093,balloon
418,n02783161,ballpoint
419,n02786058,Band Aid
420,n02787622,banjo
421,n02788148,bannister
422,n02790996,barbell
423,n02791124,barber chair
424,n02791270,barbershop
425,n02793495,barn
426,n02794156,barometer
427,n02795169,barrel
428,n02797295,barrow
429,n02799071,baseball
430,n02802426,basketball
431,n02804414,bassinet
432,n02804610,bassoon
433,n02807133,bathing cap
434,n02808304,bath towel
435,n02808440,bathtub
436,n02814533,beach wagon
437,n02814860,beacon
438,n02815834,beaker
439,n02817516,bearskin
440,n02823428,beer bottle
441,n02823750,beer glass
442,n02825657,bell cote
443,n02834397,bib
444,n02835271,bicycle-built-for-two
445,n02837789,bikini
446,n02840245,binder
447,n02841315,binoculars
448,n02843684,birdhouse
449,n02859443,boathouse
450,n02860847,bobsled
451,n02865351,bolo tie
452,n02869837,bonnet
453,n02870880,bookcase
454,n02871525,bookshop
455,n02877765,bottlecap
456,n02879718,bow
457,n02883205,bow tie
458,n02892201,brass
459,n02892767,brassiere
460,n02894605,breakwater
461,n02895154,breastplate
462,n02906734,broom
463,n02909870,bucket
464,n02910353,buckle
465,n02916936,bulletproof vest
466,n02917067,bullet train
467,n02927161,butcher shop
468,n02930766,cab
469,n02939185,caldron
470,n02948072,candle
471,n02950826,cannon
472,n02951358,canoe
473,n02951585,can opener
474,n02963159,cardigan
475,n02965783,car mirror
476,n02966193,carousel
477,n02966687,carpenter's kit
478,n02971356,carton
479,n02974003,car wheel
480,n02977058,cash machine
481,n02978881,cassette
482,n02979186,cassette player
483,n02980441,castle
484,n02981792,catamaran
485,n02988304,CD player
486,n02992211,cello
487,n02992529,cellular telephone
488,n02999410,chain
489,n03000134,chainlink fence
490,n03000247,chain mail
491,n03000684,chain saw
492,n03014705,chest
493,n03016953,chiffonier
494,n03017168,chime
495,n03018349,china cabinet
496,n03026506,Christmas stocking
497,n03028079,church
498,n03032252,cinema
499,n03041632,cleaver
500,n03042490,cliff dwelling
501,n03045698,cloak
502,n03047690,clog
503,n03062245,cocktail shaker
504,n03063599,coffee mug
505,n03063689,coffeepot
506,n03065424,coil
507,n03075370,combination lock
508,n03085013,computer keyboard
509,n03089624,confectionery
510,n03095699,container ship
511,n03100240,convertible
512,n03109150,corkscrew
513,n03110669,cornet
514,n03124043,cowboy boot
515,n03124170,cowboy hat
516,n03125729,cradle
517,n03126707,crane
518,n03127747,crash helmet
519,n03127925,crate
520,n03131574,crib
521,n03133878,Crock Pot
522,n03134739,croquet ball
523,n03141823,crutch
524,n03146219,cuirass
525,n03160309,dam
526,n03179701,desk
527,n03180011,desktop computer
528,n03187595,dial telephone
529,n03188531,diaper
530,n03196217,digital clock
531,n03197337,digital watch
532,n03201208,dining table
533,n03207743,dishrag
534,n03207941,dishwasher
535,n03208938,disk brake
536,n03216828,dock
537,n03218198,dogsled
538,n03220513,dome
539,n03223299,doormat
540,n03240683,drilling platform
541,n03249569,drum
542,n03250847,drumstick
543,n03255030,dumbbell
544,n03259280,Dutch oven
545,n03271574,electric fan
546,n03272010,electric guitar
547,n03272562,electric locomotive
548,n03290653,entertainment center
549,n03291819,envelope
550,n03297495,espresso maker
551,n03314780,face powder
552,n03325584,feather boa
553,n03337140,file
554,n03344393,fireboat
555,n03345487,fire engine
556,n03347037,fire screen
557,n03355925,flagpole
558,n03372029,flute
559,n03376595,folding chair
560,n03379051,football helmet
561,n03384352,forklift
562,n03388043,fountain
563,n03388183,fountain pen
564,n03388549,four-poster
565,n03393912,freight car
566,n03394916,French horn
567,n03400231,frying pan
568,n03404251,fur coat
569,n03417042,garbage truck
570,n03424325,gasmask
571,n03425413,gas pump
572,n03443371,goblet
573,n03444034,go-kart
574,n03445777,golf ball
575,n03445924,golfcart
576,n03447447,gondola
577,n03447721,gong
578,n03450230,gown
579,n03452741,grand piano
580,n03457902,greenhouse
581,n03459775,grille
582,n03461385,grocery store
583,n03467068,guillotine
584,n03476684,hair slide
585,n03476991,hair spray
586,n03478589,half track
587,n03481172,hammer
588,n03482405,hamper
589,n03483316,hand blower
590,n03485407,hand-held computer
591,n03485794,handkerchief
592,n03492542,hard disc
593,n03494278,harmonica
594,n03495258,harp
595,n03496892,harvester
596,n03498962,hatchet
597,n03527444,holster
598,n03529860,home theater
599,n03530642,honeycomb
600,n03532672,hook
601,n03534580,hoopskirt
602,n03535780,horizontal bar
603,n03538406,horse cart
604,n03544143,hourglass
605,n03584254,iPod
606,n03584829,iron
607,n03590841,jack-o'-lantern
608,n03594734,jean
609,n03594945,jeep
610,n03595614,jersey
611,n03598930,jigsaw puzzle
612,n03599486,jinrikisha
613,n03602883,joystick
614,n03617480,kimono
615,n03623198,knee pad
616,n03627232,knot
617,n03630383,lab coat
618,n03633091,ladle
619,n03637318,lampshade
620,n03642806,laptop
621,n03649909,lawn mower
622,n03657121,lens cap
623,n03658185,letter opener
624,n03661043,library
625,n03662601,lifeboat
626,n03666591,lighter
627,n03670208,limousine
628,n03673027,liner
629,n03676483,lipstick
630,n03680355,Loafer
631,n03690938,lotion
632,n03691459,loudspeaker
633,n03692522,loupe
634,n03697007,lumbermill
635,n03706229,magnetic compass
636,n03709823,mailbag
637,n03710193,mailbox
638,n03710637,maillot
639,n03710721,maillot
640,n03717622,manhole cover
641,n03720891,maraca
642,n03721384,marimba
643,n03724870,mask
644,n03729826,matchstick
645,n03733131,maypole
646,n03733281,maze
647,n03733805,measuring cup
648,n03742115,medicine chest
649,n03743016,megalith
650,n03759954,microphone
651,n03761084,microwave
652,n03763968,military uniform
653,n03764736,milk can
654,n03769881,minibus
655,n03770439,miniskirt
656,n03770679,minivan
657,n03773504,missile
658,n03775071,mitten
659,n03775546,mixing bowl
660,n03776460,mobile home
661,n03777568,Model T
662,n03777754,modem
663,n03781244,monastery
664,n03782006,monitor
665,n03785016,moped
666,n03786901,mortar
667,n03787032,mortarboard
668,n03788195,mosque
669,n03788365,mosquito net
670,n03791053,motor scooter
671,n03792782,mountain bike
672,n03792972,mountain tent
673,n03793489,mouse
674,n03794056,mousetrap
675,n03796401,moving van
676,n03803284,muzzle
677,n03804744,nail
678,n03814639,neck brace
679,n03814906,necklace
680,n03825788,nipple
681,n03832673,notebook
682,n03837869,obelisk
683,n03838899,oboe
684,n03840681,ocarina
685,n03841143,odometer
686,n03843555,oil filter
687,n03854065,organ
688,n03857828,oscilloscope
689,n03866082,overskirt
690,n03868242,oxcart
691,n03868863,oxygen mask
692,n03871628,packet
693,n03873416,paddle
694,n03874293,paddlewheel
695,n03874599,padlock
696,n03876231,paintbrush
697,n03877472,pajama
698,n03877845,palace
699,n03884397,panpipe
700,n03887697,paper towel
701,n03888257,parachute
702,n03888605,parallel bars
703,n03891251,park bench
704,n03891332,parking meter
705,n03895866,passenger car
706,n03899768,patio
707,n03902125,pay-phone
708,n03903868,pedestal
709,n03908618,pencil box
710,n03908714,pencil sharpener
711,n03916031,perfume
712,n03920288,Petri dish
713,n03924679,photocopier
714,n03929660,pick
715,n03929855,pickelhaube
716,n03930313,picket fence
717,n03930630,pickup
718,n03933933,pier
719,n03935335,piggy bank
720,n03937543,pill bottle
721,n03938244,pillow
722,n03942813,ping-pong ball
723,n03944341,pinwheel
724,n03947888,pirate
725,n03950228,pitcher
726,n03954731,plane
727,n03956157,planetarium
728,n03958227,plastic bag
729,n03961711,plate rack
730,n03967562,plow
731,n03970156,plunger
732,n03976467,Polaroid camera
733,n03976657,pole
734,n03977966,police van
735,n03980874,poncho
736,n03982430,pool table
737,n03983396,pop bottle
738,n03991062,pot
739,n03992509,potter's wheel
740,n03995372,power drill
741,n03998194,prayer rug
742,n04004767,printer
743,n04005630,prison
744,n04008634,projectile
745,n04009552,projector
746,n04019541,puck
747,n04023962,punching bag
748,n04026417,purse
749,n04033901,quill
750,n04033995,quilt
751,n04037443,racer
752,n04039381,racket
753,n04040759,radiator
754,n04041544,radio
755,n04044716,radio telescope
756,n04049303,rain barrel
757,n04065272,recreational vehicle
758,n04067472,reel
759,n04069434,reflex camera
760,n04070727,refrigerator
761,n04074963,remote control
762,n04081281,restaurant
763,n04086273,revolver
764,n04090263,rifle
765,n04099969,rocking chair
766,n04111531,rotisserie
767,n04116512,rubber eraser
768,n04118538,rugby ball
769,n04118776,rule
770,n04120489,running shoe
771,n04125021,safe
772,n04127249,safety pin
773,n04131690,saltshaker
774,n04133789,sandal
775,n04136333,sarong
776,n04141076,sax
777,n04141327,scabbard
778,n04141975,scale
779,n04146614,school bus
780,n04147183,schooner
781,n04149813,scoreboard
782,n04152593,screen
783,n04153751,screw
784,n04154565,screwdriver
785,n04162706,seat belt
786,n04179913,sewing machine
787,n04192698,shield
788,n04200800,shoe shop
789,n04201297,shoji
790,n04204238,shopping basket
791,n04204347,shopping cart
792,n04208210,shovel
793,n04209133,shower cap
794,n04209239,shower curtain
795,n04228054,ski
796,n04229816,ski mask
797,n04235860,sleeping bag
798,n04238763,slide rule
799,n04239074,sliding door
800,n04243546,slot
801,n04251144,snorkel
802,n04252077,snowmobile
803,n04252225,snowplow
804,n04254120,soap dispenser
805,n04254680,soccer ball
806,n04254777,sock
807,n04258138,solar dish
808,n04259630,sombrero
809,n04263257,soup bowl
810,n04264628,space bar
811,n04265275,space heater
812,n04266014,space shuttle
813,n04270147,spatula
814,n04273569,speedboat
815,n04275548,spider web
816,n04277352,spindle
817,n04285008,sports car
818,n04286575,spotlight
819,n04296562,stage
820,n04310018,steam locomotive
821,n04311004,steel arch bridge
822,n04311174,steel drum
823,n04317175,stethoscope
824,n04325704,stole
825,n04326547,stone wall
826,n04328186,stopwatch
827,n04330267,stove
828,n04332243,strainer
829,n04335435,streetcar
830,n04336792,stretcher
831,n04344873,studio couch
832,n04346328,stupa
833,n04347754,submarine
834,n04350905,suit
835,n04355338,sundial
836,n04355933,sunglass
837,n04356056,sunglasses
838,n04357314,sunscreen
839,n04366367,suspension bridge
840,n04367480,swab
841,n04370456,sweatshirt
842,n04371430,swimming trunks
843,n04371774,swing
844,n04372370,switch
845,n04376876,syringe
846,n04380533,table lamp
847,n04389033,tank
848,n04392985,tape player
849,n04398044,teapot
850,n04399382,teddy
851,n04404412,television
852,n04409515,tennis ball
853,n04417672,thatch
854,n04418357,theater curtain
855,n04423845,thimble
856,n04428191,thresher
857,n04429376,throne
858,n04435653,tile roof
859,n04442312,toaster
860,n04443257,tobacco shop
861,n04447861,toilet seat
862,n04456115,torch
863,n04458633,totem pole
864,n04461696,tow truck
865,n04462240,toyshop
866,n04465501,tractor
867,n04467665,trailer truck
868,n04476259,tray
869,n04479046,trench coat
870,n04482393,tricycle
871,n04483307,trimaran
872,n04485082,tripod
873,n04486054,triumphal arch
874,n04487081,trolleybus
875,n04487394,trombone
876,n04493381,tub
877,n04501370,turnstile
878,n04505470,typewriter keyboard
879,n04507155,umbrella
880,n04509417,unicycle
881,n04515003,upright
882,n04517823,vacuum
883,n04522168,vase
884,n04523525,vault
885,n04525038,velvet
886,n04525305,vending machine
887,n04532106,vestment
888,n04532670,viaduct
889,n04536866,violin
890,n04540053,volleyball
891,n04542943,waffle iron
892,n04548280,wall clock
893,n04548362,wallet
894,n04550184,wardrobe
895,n04552348,warplane
896,n04553703,washbasin
897,n04554684,washer
898,n04557648,water bottle
899,n04560804,water jug
900,n04562935,water tower
901,n04579145,whiskey jug
902,n04579432,whistle
903,n04584207,wig
904,n04589890,window screen
905,n04590129,window shade
906,n04591157,Windsor tie
907,n04591713,wine bottle
908,n04592741,wing
909,n04596742,wok
910,n04597913,wooden spoon
911,n04599235,wool
912,n04604644,worm fence
913,n04606251,wreck
914,n04612504,yawl
915,n04613696,yurt
916,n06359193,web site
917,n06596364,comic book
918,n06785654,crossword puzzle
919,n06794110,street sign
920,n06874185,traffic light
921,n07248320,book jacket
922,n07565083,menu
923,n07579787,plate
924,n07583066,guacamole
925,n07584110,consomme
926,n07590611,hot pot
927,n07613480,trifle
928,n07614500,ice cream
929,n07615774,ice lolly
930,n07684084,French loaf
931,n07693725,bagel
932,n07695742,pretzel
933,n07697313,cheeseburger
934,n07697537,hotdog
935,n07711569,mashed potato
936,n07714571,head cabbage
937,n07714990,broccoli
938,n07715103,cauliflower
939,n07716358,zucchini
940,n07716906,spaghetti squash
941,n07717410,acorn squash
942,n07717556,butternut squash
943,n07718472,cucumber
944,n07718747,artichoke
945,n07720875,bell pepper
946,n07730033,cardoon
947,n07734744,mushroom
948,n07742313,Granny Smith
949,n07745940,strawberry
950,n07747607,orange
951,n07749582,lemon
952,n07753113,fig
953,n07753275,pineapple
954,n07753592,banana
955,n07754684,jackfruit
956,n07760859,custard apple
957,n07768694,pomegranate
958,n07802026,hay
959,n07831146,carbonara
960,n07836838,chocolate sauce
961,n07860988,dough
962,n07871810,meat loaf
963,n07873807,pizza
964,n07875152,potpie
965,n07880968,burrito
966,n07892512,red wine
967,n07920052,espresso
968,n07930864,cup
969,n07932039,eggnog
970,n09193705,alp
971,n09229709,bubble
972,n09246464,cliff
973,n09256479,coral reef
974,n09288635,geyser
975,n09332890,lakeside
976,n09399592,promontory
977,n09421951,sandbar
978,n09428293,seashore
979,n09468604,valley
980,n09472597,volcano
981,n09835506,ballplayer
982,n10148035,groom
983,n10565667,scuba diver
984,n11879895,rapeseed
985,n11939491,daisy
986,n12057211,yellow lady's slipper
987,n12144580,corn
988,n12267677,acorn
989,n12620546,hip
990,n12768682,buckeye
991,n12985857,coral fungus
992,n12998815,agaric
993,n13037406,gyromitra
994,n13040303,stinkhorn
995,n13044778,earthstar
996,n13052670,hen-of-the-woods
997,n13054560,bolete
998,n13133613,ear
999,n15075141,toilet tissue
